annotator,document,system,corpus,rank
26,44,pegasus,xsum,4
26,44,prophetnet,xsum,2
26,44,bart,xsum,2
26,44,bertextabs,xsum,1
26,45,pegasus,xsum,2
26,45,prophetnet,xsum,4
26,45,bart,xsum,2
26,45,bertextabs,xsum,1
27,41,pegasus,xsum,1
27,41,prophetnet,xsum,4
27,41,bart,xsum,2
27,41,bertextabs,xsum,2
27,42,pegasus,xsum,4
27,42,prophetnet,xsum,2
27,42,bart,xsum,1
27,42,bertextabs,xsum,2
27,43,pegasus,xsum,1
27,43,prophetnet,xsum,2
27,43,bart,xsum,2
27,43,bertextabs,xsum,4
27,44,pegasus,xsum,4
27,44,prophetnet,xsum,2
27,44,bart,xsum,2
27,44,bertextabs,xsum,1
27,45,pegasus,xsum,4
27,45,prophetnet,xsum,2
27,45,bart,xsum,1
27,45,bertextabs,xsum,2
28,46,pegasus,xsum,2
28,46,prophetnet,xsum,2
28,46,bart,xsum,4
28,46,bertextabs,xsum,1
28,47,pegasus,xsum,2
28,47,prophetnet,xsum,1
28,47,bart,xsum,4
28,47,bertextabs,xsum,2
28,48,pegasus,xsum,1
28,48,prophetnet,xsum,2
28,48,bart,xsum,4
28,48,bertextabs,xsum,2
28,49,pegasus,xsum,2
28,49,prophetnet,xsum,2
28,49,bart,xsum,4
28,49,bertextabs,xsum,1
28,50,pegasus,xsum,4
28,50,prophetnet,xsum,2
28,50,bart,xsum,2
28,50,bertextabs,xsum,1
29,46,pegasus,xsum,2
29,46,prophetnet,xsum,1
29,46,bart,xsum,4
29,46,bertextabs,xsum,2
29,47,pegasus,xsum,2
29,47,prophetnet,xsum,1
29,47,bart,xsum,4
29,47,bertextabs,xsum,2
29,48,pegasus,xsum,2
29,48,prophetnet,xsum,2
29,48,bart,xsum,4
29,48,bertextabs,xsum,1
29,49,pegasus,xsum,4
29,49,prophetnet,xsum,2
29,49,bart,xsum,2
29,49,bertextabs,xsum,1
29,50,pegasus,xsum,2
29,50,prophetnet,xsum,4
29,50,bart,xsum,2
29,50,bertextabs,xsum,1
30,46,pegasus,xsum,2
30,46,prophetnet,xsum,2
30,46,bart,xsum,4
30,46,bertextabs,xsum,1
30,47,pegasus,xsum,2
30,47,prophetnet,xsum,4
30,47,bart,xsum,1
30,47,bertextabs,xsum,2
30,48,pegasus,xsum,2
30,48,prophetnet,xsum,2
30,48,bart,xsum,4
30,48,bertextabs,xsum,1
30,49,pegasus,xsum,2
30,49,prophetnet,xsum,2
30,49,bart,xsum,1
30,49,bertextabs,xsum,4
30,50,pegasus,xsum,2
30,50,prophetnet,xsum,1
30,50,bart,xsum,2
30,50,bertextabs,xsum,4
31,51,pegasus,xsum,1
31,51,prophetnet,xsum,4
31,51,bart,xsum,2
31,51,bertextabs,xsum,2
31,52,pegasus,xsum,2
31,52,prophetnet,xsum,2
31,52,bart,xsum,1
31,52,bertextabs,xsum,4
31,53,pegasus,xsum,2
31,53,prophetnet,xsum,2
31,53,bart,xsum,1
31,53,bertextabs,xsum,4
31,54,pegasus,xsum,4
31,54,prophetnet,xsum,2
31,54,bart,xsum,1
31,54,bertextabs,xsum,2
31,55,pegasus,xsum,1
31,55,prophetnet,xsum,2
31,55,bart,xsum,4
31,55,bertextabs,xsum,2
32,51,pegasus,xsum,2
32,51,prophetnet,xsum,1
32,51,bart,xsum,4
32,51,bertextabs,xsum,2
32,52,pegasus,xsum,2
32,52,prophetnet,xsum,1
32,52,bart,xsum,4
32,52,bertextabs,xsum,2
32,53,pegasus,xsum,2
32,53,prophetnet,xsum,2
32,53,bart,xsum,4
32,53,bertextabs,xsum,1
32,54,pegasus,xsum,2
32,54,prophetnet,xsum,2
32,54,bart,xsum,4
32,54,bertextabs,xsum,1
32,55,pegasus,xsum,1
32,55,prophetnet,xsum,4
32,55,bart,xsum,2
32,55,bertextabs,xsum,2
33,51,pegasus,xsum,2
33,51,prophetnet,xsum,4
33,51,bart,xsum,1
33,51,bertextabs,xsum,2
33,52,pegasus,xsum,2
33,52,prophetnet,xsum,4
33,52,bart,xsum,2
33,52,bertextabs,xsum,1
33,53,pegasus,xsum,2
33,53,prophetnet,xsum,2
33,53,bart,xsum,4
33,53,bertextabs,xsum,1
33,54,pegasus,xsum,1
33,54,prophetnet,xsum,2
33,54,bart,xsum,2
33,54,bertextabs,xsum,4
33,55,pegasus,xsum,2
33,55,prophetnet,xsum,4
33,55,bart,xsum,2
33,55,bertextabs,xsum,1
34,56,pegasus,xsum,1
34,56,prophetnet,xsum,2
34,56,bart,xsum,4
34,56,bertextabs,xsum,2
34,57,pegasus,xsum,4
34,57,prophetnet,xsum,2
34,57,bart,xsum,2
34,57,bertextabs,xsum,1
34,58,pegasus,xsum,2
34,58,prophetnet,xsum,4
34,58,bart,xsum,1
34,58,bertextabs,xsum,2
34,59,pegasus,xsum,2
34,59,prophetnet,xsum,4
34,59,bart,xsum,2
34,59,bertextabs,xsum,1
34,60,pegasus,xsum,1
34,60,prophetnet,xsum,4
34,60,bart,xsum,2
34,60,bertextabs,xsum,2
35,56,pegasus,xsum,4
35,56,prophetnet,xsum,2
35,56,bart,xsum,1
35,56,bertextabs,xsum,2
35,57,pegasus,xsum,2
35,57,prophetnet,xsum,4
35,57,bart,xsum,1
35,57,bertextabs,xsum,2
35,58,pegasus,xsum,4
35,58,prophetnet,xsum,2
35,58,bart,xsum,2
35,58,bertextabs,xsum,1
35,59,pegasus,xsum,2
35,59,prophetnet,xsum,2
35,59,bart,xsum,1
35,59,bertextabs,xsum,4
35,60,pegasus,xsum,2
35,60,prophetnet,xsum,2
35,60,bart,xsum,1
35,60,bertextabs,xsum,4
36,56,pegasus,xsum,2
36,56,prophetnet,xsum,2
36,56,bart,xsum,4
36,56,bertextabs,xsum,1
36,57,pegasus,xsum,4
36,57,prophetnet,xsum,2
36,57,bart,xsum,2
36,57,bertextabs,xsum,1
36,58,pegasus,xsum,2
36,58,prophetnet,xsum,1
36,58,bart,xsum,2
36,58,bertextabs,xsum,4
36,59,pegasus,xsum,2
36,59,prophetnet,xsum,2
36,59,bart,xsum,1
36,59,bertextabs,xsum,4
36,60,pegasus,xsum,2
36,60,prophetnet,xsum,1
36,60,bart,xsum,4
36,60,bertextabs,xsum,2
37,61,pegasus,xsum,4
37,61,prophetnet,xsum,2
37,61,bart,xsum,2
37,61,bertextabs,xsum,1
37,62,pegasus,xsum,2
37,62,prophetnet,xsum,4
37,62,bart,xsum,2
37,62,bertextabs,xsum,1
37,63,pegasus,xsum,4
37,63,prophetnet,xsum,2
37,63,bart,xsum,2
37,63,bertextabs,xsum,1
37,64,pegasus,xsum,2
37,64,prophetnet,xsum,2
37,64,bart,xsum,4
37,64,bertextabs,xsum,1
37,65,pegasus,xsum,2
37,65,prophetnet,xsum,4
37,65,bart,xsum,2
37,65,bertextabs,xsum,1
38,61,pegasus,xsum,2
38,61,prophetnet,xsum,2
38,61,bart,xsum,4
38,61,bertextabs,xsum,1
38,62,pegasus,xsum,2
38,62,prophetnet,xsum,4
38,62,bart,xsum,2
38,62,bertextabs,xsum,1
38,63,pegasus,xsum,4
38,63,prophetnet,xsum,2
38,63,bart,xsum,2
38,63,bertextabs,xsum,1
38,64,pegasus,xsum,2
38,64,prophetnet,xsum,2
38,64,bart,xsum,4
38,64,bertextabs,xsum,1
38,65,pegasus,xsum,2
38,65,prophetnet,xsum,4
38,65,bart,xsum,1
38,65,bertextabs,xsum,2
39,61,pegasus,xsum,2
39,61,prophetnet,xsum,1
39,61,bart,xsum,4
39,61,bertextabs,xsum,2
39,62,pegasus,xsum,4
39,62,prophetnet,xsum,1
39,62,bart,xsum,2
39,62,bertextabs,xsum,2
