annotator,document,system,corpus,rank
40,68,pegasus,cnndm,2
40,68,prophetnet,cnndm,2
40,68,bart,cnndm,4
40,68,bertextabs,cnndm,1
40,69,pegasus,cnndm,1
40,69,prophetnet,cnndm,2
40,69,bart,cnndm,4
40,69,bertextabs,cnndm,2
40,70,pegasus,cnndm,1
40,70,prophetnet,cnndm,2
40,70,bart,cnndm,2
40,70,bertextabs,cnndm,4
41,66,pegasus,cnndm,1
41,66,prophetnet,cnndm,4
41,66,bart,cnndm,2
41,66,bertextabs,cnndm,2
41,67,pegasus,cnndm,2
41,67,prophetnet,cnndm,1
41,67,bart,cnndm,2
41,67,bertextabs,cnndm,4
41,68,pegasus,cnndm,4
41,68,prophetnet,cnndm,2
41,68,bart,cnndm,2
41,68,bertextabs,cnndm,1
41,69,pegasus,cnndm,2
41,69,prophetnet,cnndm,4
41,69,bart,cnndm,1
41,69,bertextabs,cnndm,2
41,70,pegasus,cnndm,1
41,70,prophetnet,cnndm,4
41,70,bart,cnndm,2
41,70,bertextabs,cnndm,2
42,66,pegasus,cnndm,1
42,66,prophetnet,cnndm,4
42,66,bart,cnndm,2
42,66,bertextabs,cnndm,2
42,67,pegasus,cnndm,4
42,67,prophetnet,cnndm,2
42,67,bart,cnndm,1
42,67,bertextabs,cnndm,2
42,68,pegasus,cnndm,2
42,68,prophetnet,cnndm,4
42,68,bart,cnndm,2
42,68,bertextabs,cnndm,1
42,69,pegasus,cnndm,1
42,69,prophetnet,cnndm,2
42,69,bart,cnndm,4
42,69,bertextabs,cnndm,2
42,70,pegasus,cnndm,2
42,70,prophetnet,cnndm,1
42,70,bart,cnndm,2
42,70,bertextabs,cnndm,4
43,71,pegasus,cnndm,4
43,71,prophetnet,cnndm,2
43,71,bart,cnndm,2
43,71,bertextabs,cnndm,1
43,72,pegasus,cnndm,1
43,72,prophetnet,cnndm,2
43,72,bart,cnndm,4
43,72,bertextabs,cnndm,2
43,73,pegasus,cnndm,2
43,73,prophetnet,cnndm,1
43,73,bart,cnndm,4
43,73,bertextabs,cnndm,2
43,74,pegasus,cnndm,2
43,74,prophetnet,cnndm,2
43,74,bart,cnndm,4
43,74,bertextabs,cnndm,1
43,75,pegasus,cnndm,2
43,75,prophetnet,cnndm,4
43,75,bart,cnndm,1
43,75,bertextabs,cnndm,2
44,71,pegasus,cnndm,4
44,71,prophetnet,cnndm,2
44,71,bart,cnndm,2
44,71,bertextabs,cnndm,1
44,72,pegasus,cnndm,1
44,72,prophetnet,cnndm,4
44,72,bart,cnndm,2
44,72,bertextabs,cnndm,2
44,73,pegasus,cnndm,4
44,73,prophetnet,cnndm,1
44,73,bart,cnndm,2
